¦type¦qualified name¦signature¦description
¦procedure¦n10s.rdf.stream.fetch¦n10s.rdf.stream.fetch(url :: STRING, format :: STRING, params = {} :: MAP) :: (subject :: STRING, predicate :: STRING, object :: STRING, isLiteral :: BOOLEAN, literalType :: STRING, literalLang :: STRING, subjectSPO :: LIST<STRING>)¦Parses RDF and streams each triple as a record with <S,P,O> along with datatype and language tag for Literal values. No writing to the DB.
¦procedure¦n10s.rdf.stream.inline¦n10s.rdf.stream.inline(rdf :: STRING, format :: STRING, params = {} :: MAP) :: (subject :: STRING, predicate :: STRING, object :: STRING, isLiteral :: BOOLEAN, literalType :: STRING, literalLang :: STRING, subjectSPO :: LIST<STRING>)¦Parses RDF passed as a string and streams each triple as a record with <S,P,O> along with datatype and language tag for Literal values. No writing to the DB.
